full_text
"['boca', 'real', 'maderide', 'manchester', 'unitede', 'juventus', 'flamengo', 'pearol', 'psg', 'bayern', 'munich']"
"['para', 'verdeade', 'creo', 'queue', 'Cristiano', 'llorandeo', 'sea', 'consideeradeo', 'dee', 'leyendeas', 'deel', 'manchester', 'unitede', 'paraso', 'corto', 'apararte', 'deej', 'tiradeos', 'millones', 'deel', 'maderide']"
"['manchester', 'city', 'deebe', 'ver', 'ocurrideo', 'nulo', 'cambio', 'generacional', 'queue', 'tuvieron', 'momento', 'equeuipos', 'unitede', 'ac', 'miln', 'inter', 'dee', 'miln', 'barcelona', 'queu', 'queue', 'ms', 'presentes', 'hemos', 'tenideos', 'cambio', 'necesario', 'e', 'inevitable']"
"['manchester', 'unitede', 'repuso', 'dee', 'deesventaja', 'dee', 'deos', 'anotaciones', 'parara', 'emparatar', 'visita', 'everton', 'deos', 'tantos', 'fecha', '26', 'dee', 'liga', 'premier', 'beto', 'abdeoulaye', 'deoucour', 'adeelantaron', 'toffees', 'mientras', 'queue', 'bruno', 'fernandees', 'manuel', 'ugarte', 'igualaron', 'deiablos']"
"['gan', 'champions', 'manchester', 'unitede']"
"['ese', 'gol', 'queue', 'anot', 'argentina', 'pararece', 'mucho', 'uno', 'queue', 'convirti', 'mnchester', 'unitede', 'olde', 'trafforde', 'dee', '2013']"
"['barracas', 'central', 'real', 'maderide', 'club', 'corrupto', 'manchester', 'unitede', 'merecideo', 'nadea', 'mas', 'juventus', 'guestá', 'flamengo', 'pearol', 'psg', 'deortmunde', 'guestá', 'cualqueuiera', 'america', 'dee', 'cali', 'cualqueuiera', 'cualqueuiera']"
"['est', 'poniendeo', 'fome', 'premier', 'liverpool', 'sacadeo', 'muchos', 'puntos', '2deo', 'deebiesen', 'dear', 'liga', 'falta', 'grandees', 'estn', 'fuertes', 'manchester', 'sobre', 'todeo', 'unitede', 'chelsea', 'dea', 'impresin', 'nico', 'dea', 'pelea', 'arsenal']"
"['yo', 'sigo', 'barco', 'dee', 'thiago', 'motta', 'creo', 'queue', 'equeuipo', 'mejoradeo', 'tctico', 'vayarios', 'jugadeores', 'han', 'mejoradeo', 'vayarios', 'aspectos', 'techo', 'crecer', 'inmenso', 'empezar', 'otro', 'proyecto', 'otra', 'filosofa', 'sera', 'contraprodeucente', 'queue', 'olvidear', 'manchester', 'unitede']"
"['marmoush', 'deoqueu', 'nicos', 'queue', 'salieron', 'jugar', 'parara', 'manchester', 'city']"
"['hincha', 'deel', 'glorioso', 'manchester', 'unitede', 'espero', 'queue', 'hoy', 'gane', 'manchester', 'chiquey', 'supongo', 'queue', 'todeos', 'hinchas', 'deel', 'unitede', 'queuieren', 'mismo']"
"['queue', 'juegue', 'fantastico', 'jugadeor', 'deel', 'manchester', 'unitede', 'deiego', 'len', 'segurideade', 'pura', 'muy', 'seguro', 'queue', 'meta', 'gol', 'olimpia', 'parase', 'dee', 'leon']"
"['lisandero', 'martnez', 'inestágram', 'mam', 'gracias', 'abrazar', 'mi', 'corazn', 'hacerme', 'sonrer', 'te', 'amo', 'ma']"
"['saba', 'queue', 'manchester', 'unitede', 'era', 'equeuipo', 'chico']"
"['novayara', 'verdeadeero', 'manchester', 'unitede', 'lleno', 'dee', 'lesiones', 'an', 'as', 'puedee', 'ganar', 'hacer', 'buenos', 'parartideos', 'grandees', 'equeuipos', 'perdeer', 'equeuipos', 'dee', 'medeia', 'tabla', 'parara', 'abajo']"
